Provinsi,Populasi,PDRB,Luas Provinsi,Luas Kawasan Berhutan,Emisi per kapita,Intensitas Emisi,Emisi Tahun Dasar 2010,Emisi  Sektor Pertanian dan Kehutanan,Emisi Sektor Energi,
Aceh,4494.4,79145,57956,5102,10.34,587.07,46.46,20.27,4.84,21.35
Sumatera Utara,12982.2,275057,72981.23,10331,20.03,945.3,260.01,25.15,49.85,185
Sumatera Barat,4846.9,87227,42012.89,7067,4.01,222.91,16.62,12.75,3.22,0.65
Riau,5538.4,345774,87023.66,81164,38.5,616.62,213.21,206.54,5.91,0.76
Jambi,3092.3,53858,50058.16,13194,11.35,651.5,35.09,31.94,2.68,0.47
Sumatera Selatan,7450.4,157735,91592.43,25779,8.37,395.36,61.97,53.07,7.58,1.32
Bengkulu,1715.5,18600,19919.33,882,3.16,291.7,5.43,4.23,0.91,0.29
Lampung,7608.4,108404,34623.8,11366,11.91,835.79,90.41,35.84,3.88,50.7
Bangka Belitung,1223.3,26713,16424.06,1514,2.99,136.94,3.66,1.98,1.48,0.2
Kepulauan Riau,1679.2,71615,8201.72,2638,2.03,47.67,3.41,0.54,2.36,0.51
DKI Jakarta,9607.8,861992,664.01,0,2.99,33.34,28.74,0.22,21.34,7.19
Jawa Barat,43053.7,771594,35377.76,1319,1.42,79.49,61.33,17.93,36.27,7.13
Jawa Tengah,32382.7,444666,32800.69,23136,1.33,96.5,42.91,16.27,22.73,3.91
DI Yogyakarta,3457.5,45626,3133.15,816,1.26,95.69,4.37,1.6,1.65,1.12
Jawa Timur,37476.8,778564,47799.75,16105,2.62,126.08,98.16,23.35,56.58,18.23
Banten,10632.2,171748,9662.92,1439,1.39,86.01,14.77,2.5,8.15,4.12
Bali,3890.8,67194,5780.06,320,12.68,734.12,49.33,1.9,4.51,42.92
Nusa Tenggara Barat,4500.2,49632,18572.32,3887,1.51,137.36,6.82,3.55,2.36,0.91
Nusa Tenggara Timur,4683.8,27746,48718.1,37183,1.12,188.51,5.23,2.37,1.44,1.41
Kalimantan Barat,4396,60542,147307,154287,14.29,1037.25,62.8,58.68,3.46,0.66
Kalimantan Tengah,2212.1,42571,153564.5,100959,41.13,2137.38,90.99,85.59,2.43,2.97
Kalimantan Selatan,3626.6,59823,38744.23,9884,3.36,203.76,12.19,7.35,4.39,0.46
Kalimantan Timur,3553.1,321764,204534.34,90763,9.02,99.59,32.05,18.5,11.8,1.74
Sulawesi Utara,2270.6,36809,13851.64,837,1.45,89.73,3.3,1.19,1.74,0.37
Sulawesi Tengah,2635,37314,61841.29,108608,3.47,245.32,9.15,7.1,1.73,0.32
Sulawesi Selatan,8034.8,117862,46717.48,1171,2.05,139.9,13.85,6.92,4.72,2.21
Sulawesi Tenggara,2232.6,28377,38067.7,2977,2.49,196,5.56,3.47,1.78,0.31
Gorontalo,1040.2,8057,11257.07,2894,1.69,217.93,1.76,0.99,0.57,0.19
Sulawesi Barat,1158.6,10985,16787.18,3966,1.3,137.46,1.51,0.99,0.38,0.14
Maluku ,1533.5,8085,46914.03,17420,1.41,268.29,2.17,0.92,1.08,0.18
Maluku Utara,1038.1,5390,31982.5,20963,4.78,921.26,4.97,4,0.84,0.13
Papua Barat,760.4,26873,97024.27,87386,6.23,201.09,17.64,13.35,4.15,0.14
Papua,2833.4,87733,319036.05,183220,23.73,766.39,67.24,23.93,1.36,41.96
